Puzzle,Solution,Solution Count,
004000080080000205500000741098200030000070000020000509807000000040031900000002053,974125386381467295562398741498256137156973824723814569837549612245631978619782453,1,
080106000530800000000000004210000005005000620060040800000063201000000040049002006,984126573531874962672539184218697435495318627763245819857463291326951748149782356,1,
070309820028407006050000000700600004000200605000008000004700300000004000000523007,476359821928417536351862749792635184843271695165948273214796358537184962689523417,1,
800040003290000040000000000140070060000031080008060190400723006307800200000600000,851246973293157648674389521145978362926531487738462195419723856367895214582614739,1,
000300600708000000050007001301080290060000000009000070000100005096003800080500030,912354687748216359653897421371485296865972143429631578237148965596723814184569732,1,
000308000704506000000040000080000007006050009072900060000690040009005070600003800,261378954794526381358149726983264517416857239572931468837692145129485673645713892,1,
090600305530940078000008400067000000000000009089060100600150087810000000005000000,498617325531942678726538491167394852354821769289765134642153987813279546975486213,1,
060070004010300000705000000108047000507681000000000000000024500002060003600003810,863972154419358627725416938198247365537681249246539781371824596982165473654793812,1,
090000000005062040400001300000000000000045900000093010600010409900070056300000021,291437685835962147476581392149826573723145968568793214657218439912374856384659721,1,
014000706806100050000070400300400900000065000609010800040006030000507100000000000,214359786876124359593678412357482961481965273629713845142896537968537124735241698,1,
870000000001000600000028301100200000253090000009000060000600009007005000630080750,874361925321954678596728341168247593253896417749513862485672139917435286632189754,1,
806000005100000000000000020070020910000008600420900000000051706009086000007209500,896412375152837469743695128678524913935178642421963857284351796519786234367249581,1,
009320580000000200001000006000000850000000009030980060200008017050230000390001000,469327581873615294521849736914762853682153479735984162246598317157236948398471625,1,
000450010000001050000030002000000009050320000036519000160000043003000098004090020,378452916492861357615937482241678539957324861836519274169285743523746198784193625,1,
000007800060059000200100000010070000604000120008401005080500400000000000500826700,453267819861359247297148356315672984674985123928431675786513492132794568549826731,1,
800560000600000300000009100090080040000300002000004590085000900360000080004250006,841563279679812354523749168297185643456397812138624597785436921362971485914258736,1,
700000000090030600002100900000000305103007020200000079001900230920400000500000004,716529843895734612342168957679241385153897426284356179461975238927483561538612794,1,
500007410000006000317400005432760000790100000000000002000000603000050000070304200,526937418849516327317428965432765891798142536165893742954271683283659174671384259,1,
050006000070000002008000030000000300060009078082070510000090000005708100000160087,953286741476931852128547936791852364564319278382674519817493625645728193239165487,1,
000010070709000503000005002600709000020140007000060051067000000010000200504000000,852314679749286513136975482681759324925143867473862951267438195318597246594621738,1,
